"Spirit Air Lines"	[15.68327383944317, 14.202284906158683]
"Skywest Airlines Inc."	[7.67823058605973, 5.731005025894318]
"Delta Air Lines Inc."	[7.338090448359994, 0.185558312145143]
"Atlantic Southeast Airlines"	[8.49219111957299, 6.3870610181877945]
"Frontier Airlines Inc."	[13.27060856928971, 12.402010216213835]
"Hawaiian Airlines Inc."	[0.48473882945248586, 2.0169655968114117]
"American Eagle Airlines Inc."	[9.63204268375465, 6.110663471720655]
"Alaska Airlines Inc."	[1.7794761217474975, -0.9704383814144365]
"JetBlue Airways"	[11.333044995656211, 6.552679668074653]
"United Air Lines Inc."	[14.26220664969373, 5.347748694551145]
"US Airways Inc."	[6.0209194071912036, 3.6224291070125556]
"Virgin America"	[8.947094648078446, 4.687575723309048]
"Southwest Airlines Co."	[10.450107183471951, 4.307521862654584]
"American Airlines Inc."	[8.773519802089302, 3.3893364041080796]
